@relation rstparser

@ATTRIBUTE n1 numeric
@ATTRIBUTE n2 numeric
@ATTRIBUTE n3 numeric
@ATTRIBUTE n4 numeric
@ATTRIBUTE n5 numeric
@ATTRIBUTE n6 numeric
@ATTRIBUTE n7 numeric
@ATTRIBUTE n8 numeric
@ATTRIBUTE n9 numeric
@ATTRIBUTE n10 numeric
@ATTRIBUTE n11 numeric
@ATTRIBUTE n12 numeric
@ATTRIBUTE n13 numeric
@ATTRIBUTE n14 numeric
@ATTRIBUTE n15 numeric
@ATTRIBUTE n16 numeric
@ATTRIBUTE n17 numeric
@ATTRIBUTE n18 numeric
@ATTRIBUTE n19 numeric
@ATTRIBUTE n20 numeric
@ATTRIBUTE n21 numeric
@ATTRIBUTE n22 numeric
@ATTRIBUTE n23 numeric
@ATTRIBUTE n24 numeric
@ATTRIBUTE n25 numeric
@ATTRIBUTE n26 numeric
@ATTRIBUTE n27 numeric
@ATTRIBUTE n28 numeric
@ATTRIBUTE n29 numeric
@ATTRIBUTE n30 numeric
@ATTRIBUTE n31 numeric
@ATTRIBUTE n32 numeric
@ATTRIBUTE n33 numeric
@ATTRIBUTE n34 numeric
@ATTRIBUTE n35 numeric
@ATTRIBUTE n36 numeric
@ATTRIBUTE n37 numeric
@ATTRIBUTE n38 numeric
@ATTRIBUTE s1 string
@ATTRIBUTE s2 string
@ATTRIBUTE s3 string
@ATTRIBUTE s4 string
@ATTRIBUTE s5 string
@ATTRIBUTE s6 string
@ATTRIBUTE s7 string
@ATTRIBUTE s8 string
@ATTRIBUTE s9 string
@ATTRIBUTE s10 string
@ATTRIBUTE s11 string
@ATTRIBUTE s12 string
@ATTRIBUTE s13 string
@ATTRIBUTE s14 string
            

@attribute class {antithesis_concession_contrast, background_circumstance, interpretation_evaluation_conclusion, evidence_justify_explanation, enablement_motivation_purpose, condition_otherwise, cause_result, attribution, comparison, elaboration, restatement, same_unit, sequence, list, summary, means, joint, solutionhood}

@data
1,1,1,11,19,1,1,0.375,0.625,1,0,8,0,1,15,0,0,0,0,18,129,3,3,0,0,0,0,0.111111111111111,0,0.277777777777778,0,0,0,0.0555555555555556,0,0.0555555555555556,0,0,noconj,aditiva,noconj,noconj,atualmente,e,s,atualmente,s,s,s,s,e,atualmente,list
1,1,1,9,5,1,1,0.194444444444444,0.111111111111111,0.305555555555556,11,18,1,2,17,14,1,0,0,51,58,4,4,0,0,0,0,0.25,0,0.25,0,0,0,0,0,0.25,0,0,noconj,aditiva,noconj,noconj,é,e,s,é,s,s,s,s,e,é,list
1,1,1,14,14,1,2,0.333333333333333,0.305555555555556,0.638888888888889,0,11,0,1,24,13,0,0,0,129,51,11,11,0,0,0,0.0769230769230769,0.0769230769230769,0.230769230769231,0.307692307692308,0,0,0,0.0769230769230769,0,0.0769230769230769,0,0,noconj,noconj,noconj,noconj,formas,para,napostrophe,formas,napostrophe,pp,pp,napostrophe,para,formas,enablement_motivation_purpose
1,1,1,5,10,1,1,0.138888888888889,0.222222222222222,0.361111111111111,22,27,3,4,8,0,1,0,0,62,67,4,4,0,0,0,0.5,0.111111111111111,2,0.222222222222222,0.25,0.111111111111111,0.5,0.111111111111111,0.25,0.111111111111111,0.0833333333333333,0.25,noconj,aditiva,noconj,noconj,diminuindo,e,vp,diminuindo,vp,conjp,conjp,vp,e,diminuindo,list
1,1,1,28,15,3,2,0.638888888888889,0,1,0,0,0,0,13,0,0,0,0,129,62,2,2,0,0,0,0,0.142857142857143,0,0.285714285714286,0,0.0714285714285714,0,0.0714285714285714,0,0.0714285714285714,0,0,noconj,noconj,noconj,noconj,comma,diminuindo,s,comma,s,s,s,s,diminuindo,comma,cause_result
1,1,1,6,3,1,1,0.166666666666667,0.1,0.266666666666667,8,13,1,2,16,14,1,0,0,90,95,12,12,0,0,0,0.4,0.5,1,0,0,0,0.2,0.5,0.2,0,0,0,noconj,explicativa,noconj,noconj,objetos,que,napostrophe,objetos,n,cp,cp,n,que,objetos,elaboration
1,1,1,9,8,2,1,0.266666666666667,0.2,0.466666666666667,8,16,1,3,13,8,1,0,0,90,98,16,16,0,0,0,0.375,0.285714285714286,0.625,0.142857142857143,0,0,0.25,0,0.125,0.142857142857143,0,0,noconj,aditiva,noconj,noconj,requisitados,deixando,ap,deixando,a,vp,vp,a,deixando,requisitados,list
1,1,1,10,17,1,3,0.266666666666667,0.466666666666667,0.733333333333333,0,8,0,1,21,7,1,0,0,82,90,6,6,0,0,0,0.111111111111111,0.25,0.333333333333333,0.1875,0,0,0.111111111111111,0.0625,0.111111111111111,0.0625,0,0,noconj,noconj,noconj,noconj,comma,antecipando,vp,antecipando,pnt,vp,vp,pnt,antecipando,comma,evidence_justify_explanation
1,1,1,27,11,4,1,0.733333333333333,0.266666666666667,1,0,22,0,4,7,0,1,0,0,82,104,3,3,0,0,0,0.0384615384615385,0.1,0.0769230769230769,0.3,0,0,0,0.1,0,0,0,0,noconj,noconj,noconj,noconj,como,permitindo,vp,permitindo,conjp,vp,vp,conjp,permitindo,como,cause_result
1,1,1,13,9,1,1,0.384615384615385,0.269230769230769,0.653846153846154,8,18,1,2,6,0,1,0,0,9,19,2,2,0,0,0,0,0.25,0,0.125,0,0,0,0.125,0,0,0,0,explicativa,noconj,noconj,noconj,reconhecimento,deixando,s,deixando,np,vp,vp,np,deixando,reconhecimento,cause_result
1,1,1,9,22,1,2,0.346153846153846,0,1,0,0,0,0,16,0,1,0,0,0,9,7,7,0,0,0,0.125,0.142857142857143,0.25,0.142857142857143,0,0.0476190476190476,0.125,0.142857142857143,0,0.0476190476190476,0.333333333333333,0.111111111111111,noconj,explicativa,noconj,noconj,tarefa,pois,napostrophe,tarefa,napostrophe,cp,cp,napostrophe,pois,tarefa,evidence_justify_explanation
